X1,season,player,Pos,possessions,Age,height,weight,G,DRB,BLK,STL,DRAYMOND,PTS,FT.,PPG,FTP,draft_round,draft_number,draft_year,years_in_nba
78,2015,Boris Diaw,PF,4359.212,32,203,113,81,270,23,36,-0.2401635,8.74074074074074,0.774,8.74074074074074,0.774,1,21,2003,12
79,2016,Boris Diaw,PF,3176.88,33,203,113,76,175,21,26,0.6921547,6.38157894736842,0.737,6.38157894736842,0.737,1,21,2003,13
80,2017,Boris Diaw,PF,2911.503,34,203,113,73,112,9,18,-0.7692227,4.63013698630137,0.743,4.63013698630137,0.743,1,21,2003,14
81,2014,Bradley Beal,SG,5839.12,20,196,93,73,219,18,71,0.8649276,17.1095890410959,0.788,17.1095890410959,0.788,1,3,2012,2
82,2015,Bradley Beal,SG,5005.667,21,196,93,63,184,18,76,-0.1336765,15.2698412698413,0.783,15.2698412698413,0.783,1,3,2012,3
83,2016,Bradley Beal,SG,3592.849,22,196,93,55,147,11,54,-0.4436967,17.4181818181818,0.767,17.4181818181818,0.767,1,3,2012,4
84,2017,Bradley Beal,SG,6577.491,23,196,93,77,186,21,83,-0.0944418,23.1038961038961,0.825,23.1038961038961,0.825,1,3,2012,5
85,2014,Brandon Bass,PF,4508.396,28,203,113,82,309,71,36,0.8161092,11.109756097561,0.858,11.109756097561,0.858,2,33,2005,9
86,2015,Brandon Bass,PF,4143.017,29,203,113,82,259,32,41,-0.3347345,10.5609756097561,0.79,10.5609756097561,0.79,2,33,2005,10
87,2016,Brandon Bass,PF,2757.251,30,203,113,66,181,55,33,-0.4168868,7.16666666666667,0.845,7.16666666666667,0.845,2,33,2005,11
88,2017,Brandon Bass,PF,1207.296,31,203,113,52,86,11,14,-1.138305,5.61538461538461,0.875,5.61538461538461,0.875,2,33,2005,12
89,2014,Brandon Rush,SG,831.0363,28,198,99,38,39,9,5,-4.093122,2.07894736842105,0.6,2.07894736842105,0.6,1,13,2008,6
90,2015,Brandon Rush,SG,609.0025,29,198,99,33,37,12,5,-3.728351,0.909090909090909,0.455,0.909090909090909,0.455,1,13,2008,7
91,2016,Brandon Rush,SG,2477.126,30,198,99,72,160,23,20,-0.1441366,4.23611111111111,0.643,4.23611111111111,0.643,1,13,2008,8
92,2017,Brandon Rush,SG,2070.729,31,198,99,47,83,23,22,1.528256,4.19148936170213,0.722,4.19148936170213,0.722,1,13,2008,9
93,2014,Brook Lopez,C,1045.679,25,213,124,17,63,30,9,3.288444,20.7058823529412,0.817,20.7058823529412,0.817,1,10,2008,6
94,2015,Brook Lopez,C,4617.813,26,213,124,72,321,126,43,1.346657,17.1666666666667,0.814,17.1666666666667,0.814,1,10,2008,7
95,2016,Brook Lopez,C,4969.794,27,213,124,73,369,124,58,1.310023,20.5616438356164,0.787,20.5616438356164,0.787,1,10,2008,8
96,2017,Brook Lopez,C,4810.63,28,213,124,75,282,124,38,0.8435237,20.52,0.81,20.52,0.81,1,10,2008,9
97,2014,C.J. Watson,PG,3084.156,29,211,117,63,82,8,60,0.5975937,6.57142857142857,0.784,6.57142857142857,0.784,Undrafted,Undrafted,NA,NA
98,2015,C.J. Watson,PG,2878.069,30,211,117,57,145,9,57,0.9813545,10,0.826,10,0.826,Undrafted,Undrafted,NA,NA
99,2016,C.J. Watson,PG,1388.123,31,211,117,33,56,5,19,-2.397736,4.3030303030303,0.872,4.3030303030303,0.872,Undrafted,Undrafted,NA,NA
100,2017,C.J. Watson,PG,2095.472,32,211,117,62,73,2,43,-1.347875,4.53225806451613,0.864,4.53225806451613,0.864,Undrafted,Undrafted,NA,NA
101,2014,Carmelo Anthony,PF,5687.544,29,203,108,77,477,51,95,-0.1640346,27.4285714285714,0.848,27.4285714285714,0.848,1,3,2003,11
102,2015,Carmelo Anthony,SF,2735.81,30,203,108,40,192,17,40,-1.473283,24.15,0.797,24.15,0.797,1,3,2003,12
103,2016,Carmelo Anthony,SF,5000.966,31,203,108,72,458,38,62,-0.8231139,21.8472222222222,0.829,21.8472222222222,0.829,1,3,2003,13
104,2017,Carmelo Anthony,SF,5151.083,32,203,108,74,374,34,60,-0.1235619,22.4189189189189,0.833,22.4189189189189,0.833,1,3,2003,14
105,2014,Chandler Parsons,SF,6155.679,25,208,104,74,340,29,88,0.1857142,16.5675675675676,0.742,16.5675675675676,0.742,2,38,2011,3
106,2015,Chandler Parsons,SF,4532.335,26,208,104,66,259,19,69,-1.048,15.7121212121212,0.72,15.7121212121212,0.72,2,38,2011,4
107,2016,Chandler Parsons,SF,3615.615,27,208,104,61,256,21,46,-0.1164792,13.7213114754098,0.684,13.7213114754098,0.684,2,38,2011,5
108,2017,Chandler Parsons,SF,1333.688,28,208,104,34,78,5,20,-1.217726,6.17647058823529,0.814,6.17647058823529,0.814,2,38,2011,6
109,2014,Chris Paul,PG,5413.724,28,183,79,62,230,4,154,-0.4314759,19.1129032258065,0.855,19.1129032258065,0.855,1,4,2005,9
110,2015,Chris Paul,PG,6665.016,29,183,79,82,324,15,156,-0.0229089,19.0731707317073,0.9,19.0731707317073,0.9,1,4,2005,10
111,2016,Chris Paul,PG,5208.333,30,183,79,74,271,13,152,-0.8402417,19.5405405405405,0.896,19.5405405405405,0.896,1,4,2005,11
112,2017,Chris Paul,PG,4400.425,31,183,79,61,263,8,118,-1.160646,18.0983606557377,0.892,18.0983606557377,0.892,1,4,2005,12
113,2014,Cody Zeller,C,2997.656,21,213,108,82,235,41,40,0.5413696,5.97560975609756,0.73,5.97560975609756,0.73,1,4,2013,1
114,2015,Cody Zeller,C,2965.636,22,213,108,62,265,49,34,1.143239,7.61290322580645,0.774,7.61290322580645,0.774,1,4,2013,2
115,2016,Cody Zeller,C,3916.183,23,213,108,73,317,63,57,0.3399361,8.73972602739726,0.754,8.73972602739726,0.754,1,4,2013,3
116,2017,Cody Zeller,PF,3484.5,24,213,108,62,270,58,62,0.0615563,10.3064516129032,0.679,10.3064516129032,0.679,1,4,2013,4
117,2014,Cole Aldrich,C,664.4688,25,211,113,46,92,30,8,2.97092,2,0.867,2,0.867,1,11,2010,4
118,2015,Cole Aldrich,C,1934.92,26,211,113,61,237,65,37,-0.030905,5.54098360655738,0.781,5.54098360655738,0.781,1,11,2010,5
119,2016,Cole Aldrich,C,1788.383,27,211,113,60,202,68,47,-0.0682553,5.46666666666667,0.714,5.46666666666667,0.714,1,11,2010,6
120,2017,Cole Aldrich,C,1099.944,28,211,113,62,107,23,25,-0.5396616,1.69354838709677,0.682,1.69354838709677,0.682,1,11,2010,7
121,2014,Cory Joseph,SG,2089.01,22,190,87,68,75,14,35,0.2843881,5.04411764705882,0.823,5.04411764705882,0.823,1,29,2011,3
122,2015,Cory Joseph,PG,2955.364,23,190,87,79,148,17,46,1.125177,6.77215189873418,0.734,6.77215189873418,0.734,1,29,2011,4
123,2016,Cory Joseph,SG,4944.921,24,190,87,80,171,20,63,0.955144,8.4625,0.764,8.4625,0.764,1,29,2011,5
